,Landlord,City,State,Zip,Country,Review,Repair,Health,Stability,Privacy,Respect
32,CLOSE 2 HOME,OTTAWA,ONTARIO,K1J7M9,CA,"Martin Guinette (Close 2 Home) was unfortunately the most irresponsible landlord I have experienced. I lived in a basement unit managed by him, underneath tenants who were a risk to our sanity and safety, enabled by the landlord. The apartment upon move-in was full of glass and mice and had a dryer that was not hooked up correctly, causing dryer exhaust to fill the house. The apartment, which was advertised to come with internet, did not during the height of online schooling. Upstairs tenants at one point created a situation that required us to call the fire department; Martin, instead of helping solve the issue, threatened us if we went to the LTB for safety concerns. We attempted to have a professional and objective meeting with him to solve the problem, in which he told us he ""could not control feelings"" when we said we felt unsafe due to the fire. His solution for the upstairs neighbours' excessive noise 24/7 was to suggest we swap units.  When we stated we would not accept a rent increase with this solution, he gave up trying to help us altogether, leaving us in so much misery, all 4 of us on the lease moved out before the lease was up to prevent irreperable emotional damage. Martin frequently lied to us and would enter the unit for tours with less than 5 minutes' notice with no masks during the height of the pandemic. If you value your sanity and safety, I highly recommend ANY other company!",2,1,1,1,1
33,ONE PLACE PROPERTY MANAGEMENT,AUCKLAND,AUCKLAND,1010,NZ,"Took over 6 months and numerous reminder emails with no reply before they finally sent someone to repair an oven which was a fire hazard, said at the start that they would replace the missing lightbulbs but then got us to replace them instead and they ""reimbursed us"" by paying the money towards our rent instead of cash, smoke detectors were missing from day 1 which they knew and took photos of (never replaced), when we moved out they tried to accuse us of stealing these smoke detectors and we had to refer them to their own rental assessment for proof that they were missing beforehand, when we moved in found piles of mouldy pillows and sheets stuffed under the beds but when we moved out and left the place in near-pristine condition was accused of ""not vacuuming well enough"" and tried to take part of our bond. Once they realised we weren't pushovers they backed down and left us alone.",1,1,4,3,2
34,EYRIE PROPERTY MANAGEMENT LIMITED,AUCKLAND,AUCKLAND,1010,NZ,"Eyrie property management (James Lowe and Robbie King) have been great. Fixed stuff quick when stuff needs fixing, give adequate notice when inspecting. Would recommend if you happen on a listing managed by them. Cheers - J",5,5,5,5,5
35,EK PROPERTY,AUCKLAND,AUCKLAND,1010,NZ,"Constant mold issues, slow repairs, inability to deal with noise complaints within our building.",2,1,3,3,5
36,MARKO,HAMILTON,ONTARIO,L9C3M3,CA,There was an ongoing infestation of mice issues,2,1,4,3,3
37,AMALFI MILPITAS,MILPITAS,CALIFORNIA,95035,US,"The apartments themselves are great. Structurally sound, utilities work well, maintenance is effective and friendly. Management (local management, that is) is generally helpful and responsive if an issue arises.

The issue is, none of those people make the decisions about rent, privacy policy, or what tenants are allowed to do with the space they pay for.

Rent increased by $700 (~30%) after the first year at the apartments. They get around the legal issues of this by registering as an LLC and presenting the first year of rent as a 'discounted' rate - so technically, I lost a $400 discount and rent went up by $300. I have no confidence that rent will remain at a reasonable rate going forward.

In terms of information privacy, it recently came to my attention that when approving me for a lease, management ran a background check without informing me, which violates California law (ICRAA). In terms of physical privacy, it's generally fine. Maintenance comes by a few times a year to check alarms and water meters, but they give advance notice and knock before entering.

Management has not taken any discriminatory action against anyone I know at the apartments. They have, however, sent out emails complaining that our patios have laundry hanging out to try, as that 'harms the value of our community', suggesting we must take all non-decorative items off of the patios. Minor gripe, but when you're paying more than $3000 in rent, it seems to me you should be able to put whatever you damn well please on your patio.",5,5,2,3,4
38,GREENWIN,HAMILTON,ONTARIO,L8P 2H3,CA,"Bike stolen, zero follow up despite promise to look at cameras. When I had complained to upper management, I received a generic response with no follow up following that response. Many bikes stolen on property in the parking garage. Refused to amend my lease agreement to allow my partner to be added to the lease. Property manager will give you the silent treatment if you request they do anything within their job title, often bad mouthing and complaining about other tenants. Continue to hike prices of rent despite age of building, no upgrades to unit, and does not have proper aor and ventilation. Went an entire winter without heat, landlord was aware heat wasn’t working, and offered to provide a “space heater” as an alternative (we pay for hydro, our heat is covered in our rent agreement as it operates with a boiler that hasn’t been replaced since the building was built 50+ years ago). Paying an absurd amount of rent monthly for no dishwasher, no ventilation, no air conditioning, and unprofessional property management.",2,3,1,2,1
39,PURE REAL ESTATE MANAGEMENT,GRAND RAPIDS,MICHIGAN,49503,US,Lived in one of their properties for multiple years now and they've been great. They keep everything well maintained and if anything does break they have been quick to respond and repair it. I have never had any major complaints with them or the property I've lived in. The rental agreements do have a handful of rules in them that are regularly enforced. I would advise if you are looking to rent from them to read the rental agreement carefully first and make sure there aren't any rules you have a problem with.,5,5,5,4,5
40,GABE AND ALISON LOPEZ,GRAND RAPIDS,MICHIGAN,49505,US,Great couple I rented from. Very respectful and nice. Gave us concert tickets once when they couldn't go. Highly recommend.,5,5,5,5,5
41,EVAN SCHUIL,HAMILTON,AUCKLAND,0312,NZ,I wouldn't recommend my worst enemy to live with this guy. Absolute gaslightlightjng lunatic,1,1,2,1,1
42,ALLISTER RICHARDSON,WELLINGTON,WELLINGTON,6021,NZ,"Al is a friendly, respectful landlord.",4,5,5,5,5
43,CITYWIDE REAL ESTATE,GRAND RAPIDS,MICHIGAN,49507,US,CityWide has been so kind to us in the last month that we’ve lived there. The maintenance requests were responded to in a timely manner and gave us the option of whether or not we would like them to repair it while we weren’t there. Wasn’t concerned with when we wanted to move in almost a month after the house had been vacant. Everyone there has been really considerate about the needs of our household and have generally been very kind. We’ve had awful experiences with previous property management companies in the area and this has been a really refreshing change with them communicating very thoroughly.,5,4,5,5,5
44,AMERICAN REALTY,GRAND RAPIDS,MICHIGAN,49503,US,"We put in several maintenance requests that were either deemed not an emergency, the plug for the fridge was not working, or the maintenance request was not fulfilled, dryer was broken and only worked on one setting, they said it was fine. They’re telling us that they will charge us additional security deposit fees if we attempt to patch or paint holes in the walls. Frequently tell us one thing and then turn around and say the opposite a few days later.",2,3,2,3,1
45,UNILODGE AUCKLAND CITY,AUCKLAND,AUCKLAND,1010,NZ,"Good people at reception, but trash people at management level that don't even read through our reply to your e-mails. Blaming everything wrong on residents and don't take any responsibility for poor security etc.

Pretty expansive rent for a tiny room that doesn't even have a finished ceiling. You can still see scribbles drawn by the people that built it years ago.

2/5 Would not recommend.",4,3,3,4,3
46,Q RESIDENTIAL,ST CATHARINES,ONTARIO,L2N 6T3,CA,"So as if 'Q Residential' couldn't get ANY worse. Now, because SOME residents refuse to pay the extortionate fee for a parking spot (something OTHER buildings give for free), we are having them monetize Visitor parking. 

Now, I can see charging for a parking spot i  the limited underground parking. But charging us a fee to park outside is ridiculous. 

Starting to think a ""Tenant's Union"", some form of Collective Bargaining may be the next method of ""airing of grievances"". I know at least one person on each floor who is sick and tired of the heavy handed way ""Q"" tries to ""do business"". Ms **** O specifically has been a sticker in many tenant's craw. As her behavior is often described to me as rude, and disrespectful to tenant's. Thank the Lord she's rarely on site. 

We STILL haven't had our Residential Managers replaced. So she may end up having to be MORE involved. No thanks. 

If we could afford to leave. We would. But buildings around here with elevators (which I require for mobility reasons) raise their rents to ridiculous levels when people move out. Staying put limits how much my rent goes up year over year. So I guess to control my budget, I'm stuck with this mess.

I just feel like ""Q"" is all about the dolla dolla bills. Chisel every penny they can out of their tenants. And to a point we just gotta ""Suck it up"".

I know they already had a meeting about my first review. So let's hope they at least START to get the message. We (their tenants) are SICK AND TIRED of being nickle and dimed by this soulless corporate giant. 

GIVE US MANAGERS.

STOP CHARGING US FOR WHAT OTHERS GET FOR FREE, OR USED TO WHEN LANDLORDS WEREN'T GREEDY AVARICIOUS CORPORATE SOUL SUCKERS.

I am so close to looking to unionize the tenants. And I have experience unionizing.

To ""Q Residential"" I know you're reading this... I have one, small message. 

Put people before profits again. I beg of you.",3,2,1,3,1
47,SCOTT FRASER,OXFORD,ENGLAND,OX14SP,GB,"Rats: Repeating issue of rats going back 2 years before the start of our tenancy. Pest control estimates they had dispensed enough poison to kill a hundred rats over the years. Steady flow of rats entering through sewers into kitchen. Very questionable practice to keep letting the property without addressing this.
Moldy wall: Painted over with anti mold paint despite clearly needing to redo the insulation on this side of the house as water was creeping in.
Otherwise acceptable landlord. Windows were not washed on move-in, make sure you do not pay for any window washing at departure without seeing receipts.
No notice given for some maintenance work entering property, which is not legal.",3,1,3,2,3
48,REMAI HOLDINGS,SASKATOON,SASKATCHEWAN,S7T0X9,CA,"Honestly they've been great. I've lived in their building in Stonebridge for three years now and haven't had a single problem. Repairs are quick, they regularly check fire and CO detectors, the building is almost completely soundproof, and rent only increases $25/year if you sign a new lease each year (it goes up $50/year if you're month to month).

A shockingly great company for a landlord!",4,5,5,5,5
49,LIMBIRD BROTHERS,MUNCIE,INDIANA,47034,US,"I love Scott, he's fantastic. He always gets someone in as quickly as he can, takes concerns seriously, and over all is a really chill guy. The only ""downside"" is his units are all pretty old and are kind of run down in some places. But they are also in pretty old buildings, and he seems to be doing his best to preserve as much of the original as possible. That being said, I genuinely enjoy living in my apartment and he's always been able to fix any problem that's come up. 

Rent is cheap enough I have been able to start saving up for a house. Which is good, because i think he may have set my expectations of landlords unrealisticly high. Quite possibly the only good landlord I have ever heard of. 10/10 highly recommended, I would fight a man for him.",5,4,5,5,5
50,BARFOOT AND THOMPSON,AUCKLAND,AUCKLAND,1024,NZ,They'll try scam you for cleaning fees when you leave though,5,5,5,5,5
51,GIDEON AND LINGG BREWER,GRAND RAPIDS,MICHIGAN,49503,US,I have never met a more rude and disrespectful human.,1,1,2,1,1
52,NIGHTINGALE PROPERTIES,WELLINGTON,WELLINGTON,6011,NZ,"Agree with the other reviews, fine but not outstanding, does the absolute bare minimum. Were some breaches of privacy from providing information of other tenants, and relatively rude when issues were arisen. Property was kept in relatively good repair during but, took forever to get anything done.",3,3,3,2,3
53,QUINOVIC,WELLINGTON,WELLINGTON,3001,NZ,Just awful in every way,1,1,2,3,1
54,GRAEME NINNESS,PALMERSTON NORTH,WELLINGTON,4410,NZ,My favourite of all the land lords. Awesome guy. Brings coffees when he senses they are needed. Makes a mean apple walnut cake. 10/10 would rent/live with again.,5,5,5,5,5
55,PK HOUSING,GRAND RAPIDS,MICHIGAN,49504,US,"I lived at their Diamond Place property for a year. TERRIBLE experience. Roaches/ants/gnats throughout the building. We had them repair our washer as it wasn’t working when we moved in, it then broke about 6 months later and it took them a month to fix it. No offer of taking money off of our rent for the inconvenience. We had asked them to let us know when they were coming to fix it as our work schedules vary, but they couldn’t even give us a  specific DAY that they were coming. Low and behold the repairmen walk in one day after a MONTH of waiting, absolutely no warning, and I’m in the shower. Their solution to repairing our garbage disposal was that we just needed to flip the breaker every time we needed to use it. The property manager thought it was ok to just walk into my apartment no warning so that she could drop my Christmas packages inside so that she wouldn’t have to wait in the office and could go home early. Terrible communication from the whole office, they never answered the phone and when you would go down to the office everyone would be in there “working” (they were all sitting on their personal phones). The worst part of all is that they tried to wrongfully evict us as we were paying the amount on our rental agreement every month, yet somehow they had an amount that was about $100 more than what was listed on the agreement. No mention of a problem of us paying rent on time every month but somehow $100 short until we got an eviction notice on our door and hundreds of dollars in “late fees”. The property manager had no idea what was going on when we went to talk to her and she was very little help, just telling us that she would have to wait to hear back from PK before knowing what to do. We than had to wait over 2 weeks to hear back while being terrified the whole time of being wrongfully evicted. I have not heard a single good experience with this company from any of their properties. AVOID.",1,1,1,1,1
56,DREAM TEAM LIMITED - SUSHIL AND NIRAJ,WELLINGTON,WELLINGTON,6021,NZ,"Act very condescending and passive aggressive all the time, didn’t install insulation in our roof until we found out it wasn’t there, consistently choose the cheapest repairs that break again in a few months instead of actually fixing the problem properly, raise rent with very little notice",1,1,1,3,1
57,CALVIN ANDREWS,WYOMING,MICHIGAN,49519,US,He’s alright,5,5,5,5,5
58,LINDA AND ANDREW HARVEY,GREYTOWN,MARLBOROUGH,5000,NZ,"If you rent from these crazy people, you will be relentlessly bombarded with messages several times a week about blades of grass you missed while mowing/guests at your property/how you have arranged your furniture in the home/pulling your curtains/gardening they believe you need to do/they NEED to turn up to the property suddenly to do XYZ blah blah.
Their relentless bullying and driving around the property (whilst staring in) is insane.  They shouldn't be allowed to be landlords, they are mentally unfit and can't relinquish their obessive need to control every aspect of how the property is lived in.  They act as though YOU work for them despite the tenants paying THEM.
Linda sent abusive messages to my friends and family.  My poor elderly parents received abuse after their daughter has just died.
I had to report them to the police twice in regards to Linda's repeated email abuse.",1,1,1,1,1
59,RUCHIR GOEL,WELLINGTON,WELLINGTON,6037,NZ,"This man takes being a bad landlord to Olympic levels, like he is competing to be the absolute worst person you will ever interact with. Don't worry, he will only show this side after you've signed the tenancy agreement. Would rather live in a wet cardboard box with a tick ridden stray dog than one of his houses.",1,1,1,1,1
60,KAINGA ORA,HASTINGS,HAWKE'S BAY,4122,NZ,"Let me to run a small retail business out of the house and unlike some landlords they have respected my privacy and haven't interfered with my busy social life. There was an issue with the neighbours at one point, but the landlord was supportive and after I paid the neighbours a friendly visit one night the issue seems resolved.",5,5,5,5,5
61,MIERDA CABEZZA,WELLINGTON,WELLINGTON,6211,NZ,Was a poor communicator. Tried to get her to fix stains on the rug. Ended up in tribunal. Would not recommend this landlord.,2,1,2,1,1
62,QUINOVIC,WELLINGTON,WELLINGTON,6022,NZ,"The only good thing about renting from Quinovic is that when I told them I'd have to get a cat to deal with the mouse problem, they said ok. I love my cat but I do not love Quinovic.",2,1,2,3,1
63,ETE ETEUATI,WELLINGTON,WELLINGTON,6022,NZ,Complained about the Healthy Homes Act while we were signing our tenancy agreement. Put the rent up every chance he could. Was fine while we were living there but became unpleasant when we moved out. Charged us $100 for not wiping the range hood and became bizarrely aggressive about this. In the end I had to ask him to stop speaking to me and deal with my partner instead as his communication became upsetting and bordered on bullying.,4,5,3,5,1
64,FULTON GROUP,GRAND RAPIDS,MICHIGAN,49503,US,"i ranged from fulton group a couple years ago. the house i lived in for a year was a complete dumpster fire. the living room had such a big water damage puddle on the ceiling because they refused to do the roof the entire time we all lived there. it was infested with stink bugs, the insulation was awful our heat bill would be over $400 every time during the winter and i remember coming home to the front door wide open because of the wind. they fixed none of that until we moved out…..

they also ask you if you wanna re sign the next years lease two months after you move in which raised a red flag for me. i’ll never rent from them again",1,1,2,3,2
